,User,Date Created,Number of Likes,Source of Tweet,Tweet,Polarity,Emotion
282,lauranelcpt,2019-12-30 06:21:46+00:00,1,Twitter for iPhone,"And were going to be building on our work in this area in 2020 - supporting nurses, midwives and community health workers so they they can deliver healthcare for all ","{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.4404}",Positive
283,0xgr1p,2019-12-30 06:15:48+00:00,26,Twitter Web App,Bernie is out of his mind if he thinks his version of M4A of passing any house or senate and if he thinks he can replace the salaries of over half million healthcare workers with high salaries.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
284,CrissannMarin,2019-12-30 06:15:05+00:00,0,Dynamic Signal,"Health Savings Accounts are a common employee benefit, with 56% of employers offering them to workers. Whether you use an HSA or a Flexible Spending Account, here are some tips on maximizing your healthcare savings before years end. lovemyjob","{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.5994}",Positive
285,talk2william,2019-12-30 05:40:08+00:00,0,Facebook,"Our guest workers continue to face extreme discrimination in Malaysia. From expensive healthcare, maltreatment by employers, alleged extortions by immigration and agents and harassments by Rela and other enforcement...","{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.5574}",Negative
286,BabsonJeremy,2019-12-30 05:27:45+00:00,2,Twitter for Android,Also veterans don't need more executive orders from a draft dodging yellow bellied Caesar. We need more healthcare funding to hire more healthcare workers without data on how many patients are existing. While they try to estimate our numbers. 22 of us commit suicide a day.,"{'neg': 0.115, 'neu': 0.841, 'pos': 0.043, 'compound': -0.5719}",Negative
287,klasaaa,2019-12-30 05:15:27+00:00,0,EveryoneSocial,"This article written several years ago is worth reading again. Healthcare workers in cardiac catheterization labs may have higher odds than workers elsewhere for health problems including cataracts, skin lesions, cancers and...","{'neg': 0.076, 'neu': 0.871, 'pos': 0.053, 'compound': -0.2023}",Negative
288,klasaaa,2019-12-30 05:04:40+00:00,0,EveryoneSocial,"This article written several years ago is worth reading again. Healthcare workers in cardiac catheterization labs may have higher odds than workers elsewhere for health problems including cataracts, skin lesions, cancers and...","{'neg': 0.076, 'neu': 0.871, 'pos': 0.053, 'compound': -0.2023}",Negative
289,UnBoliviable52,2019-12-30 04:47:07+00:00,5,Twitter for Android,"If anything there is more freedom for workers with M4A, because then you'll get people who wont feel shackled to shit jobs just for the insurance. Theyll take more risk. Decoupling work from healthcare, which should be a public service like firefighting, is pro-labor","{'neg': 0.109, 'neu': 0.764, 'pos': 0.127, 'compound': 0.25}",Positive
290,PSLSanDiego,2019-12-30 04:44:26+00:00,13,Twitter for iPhone,"San Diego PSL recently joined the National Union for Healthcare Workers strike to protest the poor treatment of both mental health care providers &amp; patients. To read more about the strike &amp; the ways in which Kaiser fails its patients &amp; workers, click here","{'neg': 0.205, 'neu': 0.734, 'pos': 0.06, 'compound': -0.6908}",Negative
291,susanssh,2019-12-30 04:43:05+00:00,1,Twitter for iPhone,"For the last two years, the % of workers with multiple jobs has reached a high not seen since 2009. How many jobs does a worker need to house, feed, clothe and provide healthcare to a family of 4? Its going up. Not a good trend. TrumpNotWinning","{'neg': 0.053, 'neu': 0.917, 'pos': 0.031, 'compound': -0.2514}",Negative
292,darkknightfore1,2019-12-30 04:16:51+00:00,0,Twitter for iPhone,"bertsons, the dollar stores, or any Wal-mart competitor, that you can! Wal-mart owners have zilch concern for paying their workers livable wages, giving them full-time hours, or benefits like healthcare insurance, vacation and sick leave, unless the worker is one of their","{'neg': 0.089, 'neu': 0.756, 'pos': 0.155, 'compound': 0.5093}",Positive
293,SilentSnerk,2019-12-30 04:14:50+00:00,3,Twitter for Android,"True fact. Needle exchange programs reduce the number of infections among addicts &amp; bystanders (their kids, healthcare workers, sex partners, random unlucky people with stray needles on the street), &amp; are dead cheap too. Definitely cheaper than HIV or hepatitis meds.","{'neg': 0.088, 'neu': 0.774, 'pos': 0.138, 'compound': 0.128}",Positive
294,theurbanres,2019-12-30 03:35:15+00:00,1,Twitter for iPhone,"Planey Same thing happened close to me, except the murder-suicide was in the middle of the nursing home, traumatizing the residents, healthcare workers, and geriatric community. Not romantic, because murder-suicide is exactly that murder and suicide.","{'neg': 0.309, 'neu': 0.691, 'pos': 0.0, 'compound': -0.9409}",Negative
295,nikkibynx,2019-12-30 03:16:39+00:00,0,Twitter for iPhone,"Milano Im talking billions not millions. Lets take Bezos of Amazon for example. He makes more than 149,000$ per minute! But cant pay his employees a livable wage with decent healthcare? Honest Q, you think he earns this or exploits workers/a corrupted unfettered capitalistic society?","{'neg': 0.088, 'neu': 0.79, 'pos': 0.121, 'compound': 0.4122}",Positive
296,YinzerOnline,2019-12-30 03:02:32+00:00,1,Twitter for iPhone,"Co9 Amazon wasnt even paying workers $15 an hour until Bernie helped their employees publicly shame them. And similar companies, say Walmart, are notorious for keeping employee hours below where theyd have to provide healthcare and wages so low some still qualify for food stamps.","{'neg': 0.158, 'neu': 0.812, 'pos': 0.031, 'compound': -0.793}",Negative
297,Bo66961957,2019-12-30 02:53:50+00:00,0,Twitter for Android,". Free healthcare for illegals? Who's going to pay for it, Not you, not Hollywood elites, not wealthy billionaires? Who then? American workers, our taxpayers money? NOT A CHANCE YOU FRICKING SOCIALUST COMMUNIST. YOU AN IDIOT!!!","{'neg': 0.259, 'neu': 0.667, 'pos': 0.073, 'compound': -0.8106}",Negative
298,mL_Nkrumaism,2019-12-30 02:32:56+00:00,58,Twitter for Android,My biggest issue w/ social Democrats is that making halliburton a co-op and giving free housing and healthcare to its workers will not stop the exploitation of the global south. imo Stopping imperialism whether it be military or commercial should be in every policy/platform.,"{'neg': 0.033, 'neu': 0.809, 'pos': 0.157, 'compound': 0.7174}",Positive
299,BScN_CCN_RN,2019-12-30 02:02:34+00:00,5,Twitter for Android,To all healthcare care workers care out there Always be the best you can to your patient who come across you. One time you will be a patient and then you will realize how the tender care is important.,"{'neg': 0.0, 'neu': 0.679, 'pos': 0.321, 'compound': 0.9393}",Positive
300,bradleydowns,2019-12-30 01:54:24+00:00,9,Twitter for iPhone,"Medicare for all, end private health insurance and free workers from the grips of employer based healthcare. Let workers fight for wages and not healthcare.","{'neg': 0.087, 'neu': 0.803, 'pos': 0.11, 'compound': 0.1779}",Positive
301,jg_major,2019-12-30 01:45:33+00:00,1,Twitter for iPhone,Its the same question healthcare industry workers are asking about Med 4 All yes its for the greater good but what happens to my livelihood? If the government mandates this to go away versus the market naturally phasing out the production of a good thats no longer profitable?,"{'neg': 0.049, 'neu': 0.677, 'pos': 0.274, 'compound': 0.9003}",Positive
302,rosskennedy,2019-12-30 01:31:11+00:00,0,Twitter for iPhone,"So its difficult to generalize. The sport of catagorizing folks into boxes is efficient but inaccurate. Trump is frequently dressing and no substance, and yes he is selling American workers alias of crap about healthcare.","{'neg': 0.174, 'neu': 0.709, 'pos': 0.117, 'compound': -0.3898}",Negative
303,globaltimesnews,2019-12-30 01:20:02+00:00,3,Buffer,"Four days after the brutal slaying of an emergency room physician in Beijing, China's top legislature on Saturday announced including physical safety of medical workers in a new healthcare law","{'neg': 0.175, 'neu': 0.705, 'pos': 0.12, 'compound': -0.4767}",Negative
304,CadgerGreg,2019-12-30 01:03:40+00:00,2,Twitter Web App,Prison system in US is as big an issue as healthcare. Now we have prisons using prison labor to compete against for profit entities and putting them out of business. When you are making billions as a prison from slave labor what happens when you run short of workers?,"{'neg': 0.168, 'neu': 0.782, 'pos': 0.049, 'compound': -0.7906}",Negative
305,AndrewKnight226,2019-12-30 00:58:03+00:00,0,Twitter Web App,"The NHS is on its knees because the Tories have underfunded and understaffed it for 9 years.... And now they've alienated European healthcare workers are are now either leaving, or not coming to the UK to begin with.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
306,DannyKnapp5,2019-12-30 00:16:46+00:00,0,Twitter Web App,"It would be more efficient to pay those workers to stay home or do virtually anything productive than keep private health insurance in place, we're literally paying them to make us sicker and our healthcare experience worse!","{'neg': 0.115, 'neu': 0.815, 'pos': 0.07, 'compound': -0.2412}",Negative
307,EvenCool,2019-12-30 00:04:52+00:00,0,Twitter for Android,"Sad situation. Since I worked in healthcare, I witnessed that every time Cons rule, the HC workers suffer. Their are cuts which eventually hurts the patient care. When will people learn? Conservatives HealthCareForAll","{'neg': 0.283, 'neu': 0.641, 'pos': 0.076, 'compound': -0.8271}",Negative
308,AlanRanker,2019-12-30 00:04:29+00:00,3,Twitter Web App,"This is absolutely, the point. The whole reason behind the NHS is that it should be free at the point of need. There is no need for healthcare providers to be public service workers; that was Bevan's vision, and why the NHS has struggled since its inception.","{'neg': 0.082, 'neu': 0.823, 'pos': 0.095, 'compound': 0.1779}",Positive
309,valeboho,2019-12-29 23:59:05+00:00,2,Dynamic Signal,"Growth in US healthcare employment is poised to explode over the next decade, but will healthcare providers be able to find enough workers to fill these roles? [LINK] health recruiting","{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.3182}",Positive
310,ABpallnurse,2019-12-29 23:51:45+00:00,0,Twitter for Android,"Be sweet if healthcare workers could get similar benefits; free breakfast, gym (get fit for all the patient lifting) massages, yoga classes). Instead I gotta bring back the pen that I bought in the first place.","{'neg': 0.0, 'neu': 0.731, 'pos': 0.269, 'compound': 0.886}",Positive
311,CrissannMarin,2019-12-29 23:51:20+00:00,0,Dynamic Signal,"Health Savings Accounts are a common employee benefit, with 56% of employers offering them to workers. Whether you use an HSA or a Flexible Spending Account, here are some tips on maximizing your healthcare savings before years end. lovemyjob","{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.5994}",Positive
312,klasaaa,2019-12-29 23:36:13+00:00,0,EveryoneSocial,"This article written several years ago is worth reading again. Healthcare workers in cardiac catheterization labs may have higher odds than workers elsewhere for health problems including cataracts, skin lesions, cancers and...","{'neg': 0.076, 'neu': 0.871, 'pos': 0.053, 'compound': -0.2023}",Negative
313,klasaaa,2019-12-29 23:36:12+00:00,0,EveryoneSocial,"This article written several years ago is worth reading again. Healthcare workers in cardiac catheterization labs may have higher odds than workers elsewhere for health problems including cataracts, skin lesions, cancers and...","{'neg': 0.076, 'neu': 0.871, 'pos': 0.053, 'compound': -0.2023}",Negative
314,klasaaa,2019-12-29 23:36:12+00:00,0,EveryoneSocial,"This article written several years ago is worth reading again. Healthcare workers in cardiac catheterization labs may have higher odds than workers elsewhere for health problems including cataracts, skin lesions, cancers and...","{'neg': 0.076, 'neu': 0.871, 'pos': 0.053, 'compound': -0.2023}",Negative
315,klasaaa,2019-12-29 23:36:12+00:00,0,EveryoneSocial,"This article written several years ago is worth reading again. Healthcare workers in cardiac catheterization labs may have higher odds than workers elsewhere for health problems including cataracts, skin lesions, cancers and...","{'neg': 0.076, 'neu': 0.871, 'pos': 0.053, 'compound': -0.2023}",Negative
316,klasaaa,2019-12-29 23:36:11+00:00,0,EveryoneSocial,"This article written several years ago is worth reading again. Healthcare workers in cardiac catheterization labs may have higher odds than workers elsewhere for health problems including cataracts, skin lesions, cancers and...","{'neg': 0.076, 'neu': 0.871, 'pos': 0.053, 'compound': -0.2023}",Negative
317,klasaaa,2019-12-29 23:36:11+00:00,0,EveryoneSocial,"This article written several years ago is worth reading again. Healthcare workers in cardiac catheterization labs may have higher odds than workers elsewhere for health problems including cataracts, skin lesions, cancers and...","{'neg': 0.076, 'neu': 0.871, 'pos': 0.053, 'compound': -0.2023}",Negative
318,stephenrhymer,2019-12-29 23:31:49+00:00,0,Twitter for iPhone,go The real problems in America are(IMO) the social divide; unchecked racism no social contract between biz and workers sitting on our laurels lack of quality education partisanship working for the common good healthcare; expensive ice cream,"{'neg': 0.245, 'neu': 0.693, 'pos': 0.063, 'compound': -0.8126}",Negative
319,DrNickGuitarman,2019-12-29 23:23:25+00:00,0,Twitter Web App,"1/2 Trouble is, outcomes have never been better in private healthcare. At best they match the NHS, but can lack oversight, and if things go wrong they bail out and dump the victim in the local A&amp;E. Plus T&amp;C's for low-paid workers are frequently worse than for NHS employees.","{'neg': 0.309, 'neu': 0.652, 'pos': 0.039, 'compound': -0.9535}",Negative
320,WomensMarchKern,2019-12-29 23:00:09+00:00,2,Hootsuite Inc.,"All women should be paid equitably, with access to affordable childcare, sick days, healthcare, paid family leave, and healthy work environments. All workers must have the right to organize and fight for a living wage. wmkc2020 womensmarch","{'neg': 0.166, 'neu': 0.771, 'pos': 0.063, 'compound': -0.5267}",Negative
321,sophiejdalston,2019-12-29 22:55:54+00:00,0,Twitter for Android,deacon They didn't. It just isn't given routinely to teenagers anymore as it is more effective against forms of TB that affect younger children. It is still given to babies in some areas and healthcare workers under 35.,"{'neg': 0.0, 'neu': 0.918, 'pos': 0.082, 'compound': 0.5256}",Positive
322,donaldjfun,2019-12-29 22:45:51+00:00,0,Twitter for iPhone,I disagree. If I knew I wouldnt lose my healthcare I would be more likely to start my own business. I think there would be a boon to entrepreneurship. American healthcare is built to keep workers subservient.,"{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.6486}",Negative
323,DebbyB813,2019-12-29 22:15:43+00:00,0,Twitter for Android,They complain a out the homeless but don't want to help them. Imagine if everyone had healthcare and enough money to live what a great existence we would have. People getting rich and keeping the workers poor.,"{'neg': 0.189, 'neu': 0.615, 'pos': 0.197, 'compound': 0.5315}",Positive
324,eshu321,2019-12-29 21:57:30+00:00,1,Twitter Web App,"Great! So the only candidate fighting for all workers, for national healthcare, for saving the planet/environment, is taboo to you, while you love all those sucking up to monopolist corporations and the military industrial complex. You are a traitor to humanity &amp; American ideals.","{'neg': 0.046, 'neu': 0.765, 'pos': 0.189, 'compound': 0.8356}",Positive
325,clickthatfollow,2019-12-29 21:18:16+00:00,202,Twitter for Android,What about the 2.2 million workers in private healthcare? BernieBro Just transition with a jobs program or re-training program with 5 years of Guaranteed Income to maintain your Current salary. So the Government is going to pay me $150k a every year for 5 years? ,"{'neg': 0.041, 'neu': 0.959, 'pos': 0.0, 'compound': -0.1926}",Negative
326,antic2000,2019-12-29 20:57:14+00:00,1,Twitter for Android,"luna Your position on gun control, workers rights, regulation standards and healthcare puts you pretty far right. You're a ghost story we use to scare children.","{'neg': 0.232, 'neu': 0.674, 'pos': 0.094, 'compound': -0.5719}",Negative
327,bgby4884,2019-12-29 20:52:23+00:00,0,Twitter for Android,jensen This is what I can see here. The Government run Veterans Admin. healthcare has been a joke all my life. Government run Medicare &amp; Medicaid r bankrupting our budget. And they don't pay enough for healthcare workers to make a living. They have to pass the costs on to the rest of us,"{'neg': 0.0, 'neu': 0.937, 'pos': 0.063, 'compound': 0.3603}",Positive
328,ProgressiveAnd2,2019-12-29 20:45:52+00:00,0,Twitter Web App,"Kid2000 Insurance companies have a lot of workers, therefore getting rid of insurance companies will eliminate those who are employed. How will healthcare jobs increase? Doctors would undoubtedly get paid less; we already have a shortage of doctors. I do not see the logic.","{'neg': 0.044, 'neu': 0.905, 'pos': 0.051, 'compound': 0.0772}",Positive
329,klasaaa,2019-12-29 20:42:48+00:00,0,EveryoneSocial,"This article written several years ago is worth reading again. Healthcare workers in cardiac catheterization labs may have higher odds than workers elsewhere for health problems including cataracts, skin lesions, cancers and...","{'neg': 0.076, 'neu': 0.871, 'pos': 0.053, 'compound': -0.2023}",Negative
330,KCARTER29,2019-12-29 20:42:30+00:00,2,Twitter for iPhone,January 2020. The first MedicalSocialWork textbook. The discipline of Medical SocialWork is growing within the healthcare field. Organization are now realizing the benefits of having social workers as part of their healthcare team medicine hospital,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.5106}",Positive
331,klasaaa,2019-12-29 20:36:53+00:00,0,EveryoneSocial,"This article written several years ago is worth reading again. Healthcare workers in cardiac catheterization labs may have higher odds than workers elsewhere for health problems including cataracts, skin lesions, cancers and...","{'neg': 0.076, 'neu': 0.871, 'pos': 0.053, 'compound': -0.2023}",Negative
332,klasaaa,2019-12-29 20:31:19+00:00,0,EveryoneSocial,"This article written several years ago is worth reading again. Healthcare workers in cardiac catheterization labs may have higher odds than workers elsewhere for health problems including cataracts, skin lesions, cancers and...","{'neg': 0.076, 'neu': 0.871, 'pos': 0.053, 'compound': -0.2023}",Negative
333,klasaaa,2019-12-29 20:30:28+00:00,0,EveryoneSocial,"This article written several years ago is worth reading again. Healthcare workers in cardiac catheterization labs may have higher odds than workers elsewhere for health problems including cataracts, skin lesions, cancers and...","{'neg': 0.076, 'neu': 0.871, 'pos': 0.053, 'compound': -0.2023}",Negative
334,RLHotchkiss,2019-12-29 20:29:56+00:00,1,Twitter Web App,What is really pie in the sky is pretending that American workers can continue to stay employable paying twice as much for healthcare than workers in other rich nations when they get nowhere near that premium on the world labor market and anyone who does so is despicable.,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.6124}",Positive
335,elizbeech,2019-12-29 19:56:22+00:00,5,Twitter Web App,Sign up for which will allow schools to invite you to their planned events - works v well and need lots more pharmacists &amp; healthcare workers to do this,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.5574}",Positive
336,AlyFo,2019-12-29 19:46:41+00:00,1,Twitter for iPhone,"Health care for healthcare workers , literally sucks. Haha - hope youre ok my dear!","{'neg': 0.101, 'neu': 0.324, 'pos': 0.575, 'compound': 0.8932}",Positive
337,ShaneDPhillips,2019-12-29 19:43:21+00:00,12,Twitter for Android,This seems super important and overlooked. Maybe healthcare wouldn't be so expensive if healthcare workers didn't spend 50% of their time asking everyone the same questions they've been asked dozens of times before.,"{'neg': 0.029, 'neu': 0.82, 'pos': 0.151, 'compound': 0.6808}",Positive
338,WhitlowBrigitte,2019-12-29 19:43:05+00:00,0,Twitter Web App,do not confuse communism and socialism France is socialist with free healthcare and college 5 weeks paid vacation and so on China is communist and muzzling the media and the opposition a little bit like you do and oppressing its workers,"{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.7342}",Positive
339,copleac,2019-12-29 19:28:58+00:00,7,Twitter Web App,"You can have a good economy (riding the Obama economic coattails), better trade deals, better judges (not the unqualified conservatives Trump nominated), as well as healthcare for all, protections for environment &amp; workers, real tax reform, with no crime &amp; corruption in the WH.","{'neg': 0.101, 'neu': 0.708, 'pos': 0.191, 'compound': 0.6249}",Positive
340,SusanPaRN321,2019-12-29 19:22:51+00:00,0,Twitter for iPad,"Yes, you could look at homelessness by region, city, etc. But reality, DC would always be an oddity. But is is everyones problem, not just the government. Developers need to build affordable housing, healthcare workers need to reach out to those needing drug &amp; alcohol treatment.","{'neg': 0.066, 'neu': 0.878, 'pos': 0.056, 'compound': -0.3716}",Negative
341,OleMissCRNA,2019-12-29 19:20:09+00:00,0,Twitter for iPhone,So I assume youre a fan of slashing healthcare workers pay,"{'neg': 0.268, 'neu': 0.536, 'pos': 0.196, 'compound': 0.0164}",Neutral
342,kaylatimmermann,2019-12-29 19:20:03+00:00,96,Twitter for iPhone,Jobs in healthcare are TOUGH. Caring for someone who does not want it is TOUGH. Showing empathy for someone who shows you no respect is TOUGH. It seems to wear on me some days more than others. Just a reminder to be extra kind to the healthcare workers you know and love.,"{'neg': 0.153, 'neu': 0.636, 'pos': 0.211, 'compound': 0.7769}",Positive
343,smartlyjoan,2019-12-29 19:13:09+00:00,0,Twitter for iPhone,"MoscowMitch spent years killing funds 4 miners pensions, healthcare  even steering  from miners to a Russian billionaires aluminum plant. 24hrs after lost Mitch says hell help miners  now his Judges will do hard work, screw workers.","{'neg': 0.21, 'neu': 0.73, 'pos': 0.06, 'compound': -0.7003}",Negative
344,JamesBergseid,2019-12-29 19:11:22+00:00,0,Twitter for iPhone,"Do you suppose that our society shouldnt have ideals like BLM, or healthcare rationed by need rather than ability to pay? Do you not believe in a society that favors the labor that creates the economy? Do you believe lgbtq workers should be fired for being who they are?","{'neg': 0.083, 'neu': 0.73, 'pos': 0.187, 'compound': 0.6416}",Positive
345,Betony_Jones,2019-12-29 18:52:31+00:00,7,Twitter for iPhone,"its not surprising that fossil fuel workers with good, reliable pay and healthcare are not leaping at the opportunity to move to lower-wage jobs installing solar panels. Warren vows to work with unions to fight for better wages and benefits in these jobs","{'neg': 0.108, 'neu': 0.685, 'pos': 0.207, 'compound': 0.7496}",Positive
346,JacSpeas,2019-12-29 18:49:02+00:00,0,Twitter for iPhone,Thats clearly fake news. Its literally the opposite of what the president * promised. So its just not possible its true. All of those workers probably are receiving raises and enhanced healthcare and guaranteed pensions. There just must be some kind of misunderstanding.,"{'neg': 0.165, 'neu': 0.735, 'pos': 0.101, 'compound': -0.5147}",Negative
347,SpicySulty,2019-12-29 18:31:30+00:00,150,Twitter for iPhone,". is one of the few and most pro-union and pro-worker in the US Congress. The GNDs JustTransitionProgram include workers in the health insurance industry. They will receive 5 years of compensation, free healthcare and educational trainings.","{'neg': 0.0, 'neu': 0.918, 'pos': 0.082, 'compound': 0.5106}",Positive
348,BOverstreet71,2019-12-29 18:30:24+00:00,0,Dynamic Signal,"Health Savings Accounts are a common employee benefit, with 56% of employers offering them to workers. Whether you use an HSA or a Flexible Spending Account, here are some tips on maximizing your healthcare savings before years end. lovemyjob","{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.5994}",Positive
349,fbyaruhanga_,2019-12-29 18:30:13+00:00,2,Twitter for Android,"With this delay, healthcare workers are still unable to provide safe, legal services while law enforcement and judicial officers do not effectively enforce/implement laws that permit abortion thus denying women and girls access to safe and legal services","{'neg': 0.151, 'neu': 0.661, 'pos': 0.188, 'compound': 0.1764}",Positive
350,ArmisteadHayden,2019-12-29 18:28:47+00:00,0,Twitter for iPhone,"2016 went poorly because the vast majority of people had already decided they hated Hillary, and the campaign shout themselves in the foot by ignoring workers in the Midwest. Every dem candidate has a progressive plan to greatly increase access to healthcare, and some are more...","{'neg': 0.127, 'neu': 0.826, 'pos': 0.048, 'compound': -0.6494}",Negative
351,klasaaa,2019-12-29 18:01:40+00:00,0,EveryoneSocial,"This article written several years ago is worth reading again. Healthcare workers in cardiac catheterization labs may have higher odds than workers elsewhere for health problems including cataracts, skin lesions, cancers and...","{'neg': 0.076, 'neu': 0.871, 'pos': 0.053, 'compound': -0.2023}",Negative
352,m__baron,2019-12-29 17:55:57+00:00,8,Twitter for Android,"Has Yang hidden a decent healthcare, housing or workers rights plan on his website somewhere?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
353,klasaaa,2019-12-29 17:55:44+00:00,0,EveryoneSocial,"This article written several years ago is worth reading again. Healthcare workers in cardiac catheterization labs may have higher odds than workers elsewhere for health problems including cataracts, skin lesions, cancers and...","{'neg': 0.076, 'neu': 0.871, 'pos': 0.053, 'compound': -0.2023}",Negative
354,klasaaa,2019-12-29 17:50:31+00:00,0,EveryoneSocial,"This article written several years ago is worth reading again. Healthcare workers in cardiac catheterization labs may have higher odds than workers elsewhere for health problems including cataracts, skin lesions, cancers and...","{'neg': 0.076, 'neu': 0.871, 'pos': 0.053, 'compound': -0.2023}",Negative
355,CoastingAlong49,2019-12-29 17:50:22+00:00,34,Twitter Web App,"Finally, some vote blue no matter who liberals who don't really want to beat Trump under any circumstances that could lead to healthcare for all while putting tens of thousands of disposable $ back in the hands of workers, an education system that ends the need to import tech.","{'neg': 0.07, 'neu': 0.908, 'pos': 0.021, 'compound': -0.3692}",Negative
356,ronmolina,2019-12-29 17:48:11+00:00,0,Twitter Web Client,German Workers Will Face Higher Healthcare Costs Next Year via,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
357,BruceCargin,2019-12-29 17:46:43+00:00,0,Twitter for Android,"Workers chip in all the time, wage theft, swindled vacation and sick time, subsidizing healthcare costs and anytime they say yes to, we are all members of a team here. I get your point but it's heartless, cruel and misses the big point.","{'neg': 0.251, 'neu': 0.716, 'pos': 0.033, 'compound': -0.9209}",Negative
358,TheRealMcKeever,2019-12-29 17:46:22+00:00,0,Twitter for iPhone,"mckelvey National Socialist German Workers Party. Modern socialists insist the Nazis didnt really mean it, then try to implement the Nazi domestic program here in the US (living wage, govt healthcare, gun control, regulation of industry, eugenics).","{'neg': 0.06, 'neu': 0.873, 'pos': 0.067, 'compound': 0.0772}",Positive
359,klasaaa,2019-12-29 17:33:44+00:00,0,EveryoneSocial,"This article written several years ago is worth reading again. Healthcare workers in cardiac catheterization labs may have higher odds than workers elsewhere for health problems including cataracts, skin lesions, cancers and or...","{'neg': 0.074, 'neu': 0.874, 'pos': 0.052, 'compound': -0.2023}",Negative
360,DavidPArmijo1,2019-12-29 17:24:04+00:00,0,Dynamic Signal,"Health Savings Accounts are a common employee benefit, with 56% of employers offering them to workers. Whether you use an HSA or a Flexible Spending Account, here are some tips on maximizing your healthcare savings before years end. lovemyjob","{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.5994}",Positive
361,AlappatChris,2019-12-29 17:12:00+00:00,1,Twitter Web App,Happy Holidays to all the clinicians and healthcare workers holding down the fort!,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.7644}",Positive
362,ewanrross,2019-12-29 17:07:43+00:00,0,Twitter for iPhone,t Businesses know that tying healthcare to employment offers them a massive cudgel to wield against workers though. I dont think theyd bite.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
363,patricklobo01,2019-12-29 17:07:19+00:00,1,Twitter for iPhone,"siever Its part of the IDU Conservative playbook also being used in Ontario and elsewhere to devalue the hard work of teachers, healthcare workers and cut public services. It gives license to the private sector to do their worst.","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.765}",Negative
364,DrSpenceley,2019-12-29 17:02:31+00:00,2,Twitter for iPad,I believe this is soon to be made available nationally for healthcare workers and I am monitoring this as this would be an excellent addition to the support offered to our staff.,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.7506}",Positive
365,sabinvaccine,2019-12-29 17:01:07+00:00,7,Hootsuite Inc.,A community relay crosses a stream with his bike to vaccinate children in remote areas of the Tanganyika Province in the DRC. Check out more photos like these of healthcare workers delivering vaccines!,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.4714}",Positive
366,DrSpenceley,2019-12-29 17:00:39+00:00,0,Twitter for iPad,I believe this is the same for UK and paticularly relevant to all healthcare workers.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
367,Riadramsaroop,2019-12-29 16:58:02+00:00,2,Twitter for Android,"mraz Ok that's just stupid. America has the greatest military but they fall behind on healthcare, education, workers rights, housing costs, childhood poverty, corruption and quality of life.","{'neg': 0.171, 'neu': 0.721, 'pos': 0.108, 'compound': -0.5346}",Negative
368,JoannaMcKenna16,2019-12-29 16:56:56+00:00,1,Twitter for iPhone,Are you surprised? Enough healthcare workers said this was happening. Once it is gone we will never get it back SaveOurNHS,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.2263}",Positive
369,JessicaKaniaDVM,2019-12-29 16:54:36+00:00,6,Twitter for Android,"One day I realized my clients' definition of a lot of blood is VERY different from mine. They don't turn to google in disdain of healthcare workers, they do it bc it's accessible/easy/cheap &amp; they're concerned. I'd rather they come in for nothing than not come in for something.","{'neg': 0.061, 'neu': 0.939, 'pos': 0.0, 'compound': -0.4767}",Negative
370,KarynCaplan,2019-12-29 16:43:17+00:00,0,Twitter Web App,"Dig into the loss of the hospital has not affected the city's sales tax revenue which likely means corp wasn't paying their fair share of taxes to begin with, which impacts community services. Cancer &amp; dialysis closures. More Qs RVUs? ER? Maternity? Local healthcare workers?","{'neg': 0.177, 'neu': 0.756, 'pos': 0.067, 'compound': -0.7893}",Negative
